Year,Country,Medal,City,Sport,Discipline,Athlete,Gender,Event
1896,Hungary,Gold,Athens,Aquatics,Swimming,"HAJOS, Alfred",Men,100M Freestyle
1896,Austria,Silver,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",Men,100M Freestyle
1896,Greece,Bronze,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",Men,100M Freestyle For Sailors
1896,Greece,Gold,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",Men,100M Freestyle For Sailors
1896,Greece,Silver,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",Men,100M Freestyle For Sailors
1896,Greece,Bronze,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",Men,1200M Freestyle
1896,Hungary,Gold,Athens,Aquatics,Swimming,"HAJOS, Alfred",Men,1200M Freestyle
1896,Greece,Silver,Athens,Aquatics,Swimming,"ANDREOU, Joannis",Men,1200M Freestyle
1896,Greece,Bronze,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",Men,400M Freestyle
1896,Austria,Gold,Athens,Aquatics,Swimming,"NEUMANN, Paul",Men,400M Freestyle
1896,Greece,Silver,Athens,Aquatics,Swimming,"PEPANOS, Antonios",Men,400M Freestyle
1896,United States,Bronze,Athens,Athletics,Athletics,"LANE, Francis",Men,100M
1896,Hungary,Bronze,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",Men,100M
1896,United States,Gold,Athens,Athletics,Athletics,"BURKE, Thomas",Men,100M
1896,Germany,Silver,Athens,Athletics,Athletics,"HOFMANN, Fritz",Men,100M
1896,United States,Gold,Athens,Athletics,Athletics,"CURTIS, Thomas",Men,110M Hurdles
1896,United Kingdom,Silver,Athens,Athletics,Athletics,"GOULDING, Grantley",Men,110M Hurdles
1896,France,Bronze,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",Men,1500M
1896,Australia,Gold,Athens,Athletics,Athletics,"FLACK, Edwin",Men,1500M
1896,United States,Silver,Athens,Athletics,Athletics,"BLAKE, Arthur",Men,1500M
1896,United Kingdom,Bronze,Athens,Athletics,Athletics,"GMELIN, Charles",Men,400M
1896,United States,Gold,Athens,Athletics,Athletics,"BURKE, Thomas",Men,400M
1896,United States,Silver,Athens,Athletics,Athletics,"JAMISON, Herbert",Men,400M
1896,Greece,Bronze,Athens,Athletics,Athletics,"GOLEMIS, Dimitrios",Men,800M
1896,Australia,Gold,Athens,Athletics,Athletics,"FLACK, Edwin",Men,800M
1896,Hungary,Silver,Athens,Athletics,Athletics,"DANI, Nandor",Men,800M
1896,Greece,Bronze,Athens,Athletics,Athletics,"VERSIS, Sotirios",Men,Discus Throw
1896,United States,Gold,Athens,Athletics,Athletics,"GARRETT, Robert",Men,Discus Throw
1896,Greece,Silver,Athens,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",Men,Discus Throw
1896,United States,Gold,Athens,Athletics,Athletics,"CLARK, Ellery",Men,High Jump
1896,United States,Silver,Athens,Athletics,Athletics,"CONNOLLY, James",Men,High Jump
1896,United States,Silver,Athens,Athletics,Athletics,"GARRETT, Robert",Men,High Jump
1896,United States,Bronze,Athens,Athletics,Athletics,"CONNOLLY, James",Men,Long Jump
1896,United States,Gold,Athens,Athletics,Athletics,"CLARK, Ellery",Men,Long Jump
1896,United States,Silver,Athens,Athletics,Athletics,"GARRETT, Robert",Men,Long Jump
1896,Hungary,Bronze,Athens,Athletics,Athletics,"KELLNER, Gyula",Men,Marathon
1896,Greece,Gold,Athens,Athletics,Athletics,"LOUIS, Spyridon",Men,Marathon
1896,Greece,Silver,Athens,Athletics,Athletics,"VASILAKOS, Kharilaos",Men,Marathon
1896,Greece,Bronze,Athens,Athletics,Athletics,"DAMASKOS, Evangelos",Men,Pole Vault
1896,Greece,Bronze,Athens,Athletics,Athletics,"THEODOROPOULOS, Ioannis",Men,Pole Vault
1896,United States,Gold,Athens,Athletics,Athletics,"HOYT, William Welles",Men,Pole Vault
1896,United States,Silver,Athens,Athletics,Athletics,"TYLER, Albert",Men,Pole Vault
1896,Greece,Bronze,Athens,Athletics,Athletics,"PAPASIDERIS, Georgios",Men,Shot Put
1896,United States,Gold,Athens,Athletics,Athletics,"GARRETT, Robert",Men,Shot Put
1896,Greece,Silver,Athens,Athletics,Athletics,"GOUSKOS, Miltiadis",Men,Shot Put
1896,Greece,Bronze,Athens,Athletics,Athletics,"PERSAKIS, Ioannis",Men,Triple Jump
1896,United States,Gold,Athens,Athletics,Athletics,"CONNOLLY, James",Men,Triple Jump
1896,France,Silver,Athens,Athletics,Athletics,"TUFFERI, Alexandre",Men,Triple Jump
1896,United Kingdom,Bronze,Athens,Cycling,Cycling Road,"BATTEL, Edward",Men,Individual Road Race
1896,Greece,Gold,Athens,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",Men,Individual Road Race
1896,Germany,Silver,Athens,Cycling,Cycling Road,"GOEDRICH, August",Men,Individual Road Race
1896,France,Gold,Athens,Cycling,Cycling Track,"FLAMENG, Léon",Men,100KM
1896,Greece,Silver,Athens,Cycling,Cycling Track,"KOLETTIS, Georgios",Men,100KM
1896,Austria,Bronze,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",Men,10KM
1896,France,Gold,Athens,Cycling,Cycling Track,"MASSON, Paul",Men,10KM
1896,France,Silver,Athens,Cycling,Cycling Track,"FLAMENG, Léon",Men,10KM
1896,Austria,Gold,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",Men,12-Hour Race
1896,United Kingdom,Silver,Athens,Cycling,Cycling Track,"KEEPING, Frank",Men,12-Hour Race
1896,Austria,Bronze,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",Men,1KM Time Trial
1896,France,Gold,Athens,Cycling,Cycling Track,"MASSON, Paul",Men,1KM Time Trial
1896,Greece,Silver,Athens,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Men,1KM Time Trial
1896,France,Bronze,Athens,Cycling,Cycling Track,"FLAMENG, Léon",Men,Sprint Indivual
1896,France,Gold,Athens,Cycling,Cycling Track,"MASSON, Paul",Men,Sprint Indivual
1896,Greece,Silver,Athens,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Men,Sprint Indivual
1896,Greece,Bronze,Athens,Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",Men,Foil Individual
1896,France,Gold,Athens,Fencing,Fencing,"GRAVELOTTE, Eugène-Henri",Men,Foil Individual
1896,France,Silver,Athens,Fencing,Fencing,"CALLOT, Henri",Men,Foil Individual
1896,Greece,Gold,Athens,Fencing,Fencing,"PYRGOS, Leonidas",Men,"Foil, Masters"
1896,France,Silver,Athens,Fencing,Fencing,"PERRONNET, Maurice",Men,"Foil, Masters"
1896,Denmark,Bronze,Athens,Fencing,Fencing,"NIELSEN, Holger",Men,Sabre Individual
1896,Greece,Gold,Athens,Fencing,Fencing,"GEORGIADIS, Ioannis",Men,Sabre Individual
1896,Greece,Silver,Athens,Fencing,Fencing,"KARAKALOS, Telemachos",Men,Sabre Individual
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,Horizontal Bar
1896,Germany,Silver,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Men,Horizontal Bar
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Men,Parallel Bars
1896,Switzerland,Silver,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",Men,Parallel Bars
1896,Switzerland,Gold,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",Men,Pommel Horse
1896,Germany,Silver,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,Pommel Horse
1896,Greece,Bronze,Athens,Gymnastics,Artistic G.,"PERSAKIS, Petros",Men,Rings
1896,Greece,Gold,Athens,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",Men,Rings
1896,Germany,Silver,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,Rings
1896,Germany,Bronze,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",Men,Rope Climbing
1896,Greece,Gold,Athens,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",Men,Rope Climbing
1896,Greece,Silver,Athens,Gymnastics,Artistic G.,"XENAKIS, Thomasios",Men,Rope Climbing
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"BÖCKER, Konrad",Men,"Team, Horizontal Bar"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Men,"Team, Horizontal Bar"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",Men,"Team, Horizontal Bar"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"HILMAR, Georg",Men,"Team, Horizontal Bar"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",Men,"Team, Horizontal Bar"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",Men,"Team, Horizontal Bar"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"NEUKIRCH, Karl",Men,"Team, Horizontal Bar"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"RÖSTEL, Richard",Men,"Team, Horizontal Bar"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"SCHUFT, Gustav",Men,"Team, Horizontal Bar"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",Men,"Team, Horizontal Bar"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,"Team, Horizontal Bar"
1896,Greece,Bronze,Athens,Gymnastics,Artistic G.,"CHRYSAPHIS, Ioannis",Men,"Team, Parallel Bars"
1896,Greece,Bronze,Athens,Gymnastics,Artistic G.,"KARVELAS, Phillippos",Men,"Team, Parallel Bars"
1896,Greece,Bronze,Athens,Gymnastics,Artistic G.,"LOUNDRAS, Dimitrios",Men,"Team, Parallel Bars"
1896,Greece,Bronze,Athens,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"BÖCKER, Konrad",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"HILMAR, Georg",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"NEUKIRCH, Karl",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"RÖSTEL, Richard",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"SCHUFT, Gustav",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",Men,"Team, Parallel Bars"
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,"Team, Parallel Bars"
1896,Greece,Silver,Athens,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",Men,"Team, Parallel Bars"
1896,Greece,Silver,Athens,Gymnastics,Artistic G.,"ATHANASOPOULOS, Spyros",Men,"Team, Parallel Bars"
1896,Greece,Silver,Athens,Gymnastics,Artistic G.,"PERSAKIS, Petros",Men,"Team, Parallel Bars"
1896,Greece,Silver,Athens,Gymnastics,Artistic G.,"XENAKIS, Thomasios",Men,"Team, Parallel Bars"
1896,Germany,Bronze,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,Vault
1896,Germany,Gold,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",Men,Vault
1896,Switzerland,Silver,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",Men,Vault
1896,Greece,Bronze,Athens,Shooting,Shooting,"MORAKIS, Nikolaos",Men,25M Army Pistol
1896,United States,Gold,Athens,Shooting,Shooting,"PAINE, John",Men,25M Army Pistol
1896,United States,Silver,Athens,Shooting,Shooting,"PAINE, Sumner",Men,25M Army Pistol
1896,Denmark,Bronze,Athens,Shooting,Shooting,"NIELSEN, Holger",Men,25M Rapid Fire Pistol (60 Shots)
1896,Greece,Gold,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",Men,25M Rapid Fire Pistol (60 Shots)
1896,Greece,Silver,Athens,Shooting,Shooting,"ORPHANIDIS, Georgios",Men,25M Rapid Fire Pistol (60 Shots)
1896,Greece,Bronze,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",Men,50M Pistol (60 Shots)
1896,United States,Gold,Athens,Shooting,Shooting,"PAINE, Sumner",Men,50M Pistol (60 Shots)
1896,Denmark,Silver,Athens,Shooting,Shooting,"NIELSEN, Holger",Men,50M Pistol (60 Shots)
1896,Greece,Bronze,Athens,Shooting,Shooting,"TRIKUPIS, Nicolaos",Men,"Army Rifle, 200M"
1896,Greece,Gold,Athens,Shooting,Shooting,"KARASEVDAS, Pantelis",Men,"Army Rifle, 200M"
1896,Greece,Silver,Athens,Shooting,Shooting,"PAVLIDIS, Pavlos",Men,"Army Rifle, 200M"
1896,Denmark,Bronze,Athens,Shooting,Shooting,"JENSEN, Viggo",Men,"Army Rifle, 300M"
1896,Greece,Gold,Athens,Shooting,Shooting,"ORPHANIDIS, Georgios",Men,"Army Rifle, 300M"
1896,Greece,Silver,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",Men,"Army Rifle, 300M"
1896,,Bronze,Athens,Tennis,Tennis,"FLACK, Edwin",Men,Doubles
1896,,Bronze,Athens,Tennis,Tennis,"ROBERTSON, George Stuart",Men,Doubles
1896,,Gold,Athens,Tennis,Tennis,"BOLAND, John",Men,Doubles
1896,,Gold,Athens,Tennis,Tennis,"TRAUN, Friedrich",Men,Doubles
1896,,Silver,Athens,Tennis,Tennis,"KASDAGLIS, Dionysios",Men,Doubles
1896,,Silver,Athens,Tennis,Tennis,"PETROKOKKINOS, Demetrios",Men,Doubles
1896,Greece,Bronze,Athens,Tennis,Tennis,"PASPATIS, Konstantinos",Men,Singles
1896,Hungary,Bronze,Athens,Tennis,Tennis,"TAPAVICZA, Momcsillo",Men,Singles
1896,United Kingdom,Gold,Athens,Tennis,Tennis,"BOLAND, John",Men,Singles
1896,Greece,Silver,Athens,Tennis,Tennis,"KASDAGLIS, Dionysios",Men,Singles
1896,Greece,Bronze,Athens,Weightlifting,Weightlifting,"NIKOLOPOULOS, Alexandros",Men,Heavyweight - One Hand Lift
1896,United Kingdom,Gold,Athens,Weightlifting,Weightlifting,"ELLIOTT, Launceston",Men,Heavyweight - One Hand Lift
1896,Denmark,Silver,Athens,Weightlifting,Weightlifting,"JENSEN, Viggo",Men,Heavyweight - One Hand Lift
1896,Greece,Bronze,Athens,Weightlifting,Weightlifting,"VERSIS, Sotirios",Men,Heavyweight - Two Hand Lift
1896,Denmark,Gold,Athens,Weightlifting,Weightlifting,"JENSEN, Viggo",Men,Heavyweight - Two Hand Lift
1896,United Kingdom,Silver,Athens,Weightlifting,Weightlifting,"ELLIOTT, Launceston",Men,Heavyweight - Two Hand Lift
1896,Greece,Bronze,Athens,Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",Men,Open Event
1896,Germany,Gold,Athens,Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",Men,Open Event
1896,Greece,Silver,Athens,Wrestling,Wrestling Gre-R,"TSITAS, Georgios",Men,Open Event
1900,Hungary,Bronze,Paris,Aquatics,Swimming,"HALMAY, Zoltan",Men,1500M Freestyle
1900,United Kingdom,Gold,Paris,Aquatics,Swimming,"JARVIS, John Arthur",Men,1500M Freestyle
1900,Austria,Silver,Paris,Aquatics,Swimming,"WAHLE, Otto",Men,1500M Freestyle
1900,Netherlands,Bronze,Paris,Aquatics,Swimming,"DROST, Johannes",Men,200M Backstroke
1900,Germany,Gold,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",Men,200M Backstroke
1900,Austria,Silver,Paris,Aquatics,Swimming,"RUBERL, Karl",Men,200M Backstroke
1900,Austria,Bronze,Paris,Aquatics,Swimming,"RUBERL, Karl",Men,200M Freestyle
1900,Australia,Gold,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",Men,200M Freestyle
1900,Hungary,Silver,Paris,Aquatics,Swimming,"HALMAY, Zoltan",Men,200M Freestyle
1900,United Kingdom,Bronze,Paris,Aquatics,Swimming,"KEMP, Peter",Men,200M Obstacle Event
1900,Australia,Gold,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",Men,200M Obstacle Event
1900,Austria,Silver,Paris,Aquatics,Swimming,"WAHLE, Otto",Men,200M Obstacle Event
1900,France,Bronze,Paris,Aquatics,Swimming,HOUBEN,Men,200M Team Swimming
1900,France,Bronze,Paris,Aquatics,Swimming,"LEUILLIEUX, Jean",Men,200M Team Swimming
1900,France,Bronze,Paris,Aquatics,Swimming,"MARTIN, Louis",Men,200M Team Swimming
1900,France,Bronze,Paris,Aquatics,Swimming,"MERCHEZ, Désiré",Men,200M Team Swimming
1900,France,Bronze,Paris,Aquatics,Swimming,TARTARA,Men,200M Team Swimming
1900,Germany,Gold,Paris,Aquatics,Swimming,"FREY, Julius",Men,200M Team Swimming
1900,Germany,Gold,Paris,Aquatics,Swimming,"HAINLE, Max",Men,200M Team Swimming
1900,Germany,Gold,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",Men,200M Team Swimming
1900,Germany,Gold,Paris,Aquatics,Swimming,"SCHÖNE, Max",Men,200M Team Swimming
1900,Germany,Gold,Paris,Aquatics,Swimming,"VON PETERSDORFF, Herbert",Men,200M Team Swimming
1900,France,Silver,Paris,Aquatics,Swimming,BERTRAND,Men,200M Team Swimming
1900,France,Silver,Paris,Aquatics,Swimming,CADET,Men,200M Team Swimming
1900,France,Silver,Paris,Aquatics,Swimming,"HOCHEPIED, Maurice",Men,200M Team Swimming
1900,France,Silver,Paris,Aquatics,Swimming,"HOCHEPIED, Victor",Men,200M Team Swimming
1900,France,Silver,Paris,Aquatics,Swimming,VERBECKE,Men,200M Team Swimming
1900,France,Bronze,Paris,Aquatics,Swimming,"MARTIN, Louis",Men,4000M Freestyle
1900,United Kingdom,Gold,Paris,Aquatics,Swimming,"JARVIS, John Arthur",Men,4000M Freestyle
1900,Hungary,Silver,Paris,Aquatics,Swimming,"HALMAY, Zoltan",Men,4000M Freestyle
1900,Denmark,Bronze,Paris,Aquatics,Swimming,"LYKKEBERG, Peder",Men,Underwater Swimming
1900,France,Gold,Paris,Aquatics,Swimming,"DE VENDEVILLE, Charles",Men,Underwater Swimming
1900,France,Silver,Paris,Aquatics,Swimming,"SIX, André",Men,Underwater Swimming
1900,France,Bronze,Paris,Aquatics,Water polo,"BURGESS, Thomas",Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,COULON,Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,"DECUYPER, Alphonse",Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,DEVENOT,Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,FARDELLE,Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,FAVIER,Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,"LAUFRAY, Louis",Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,LERICHE,Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,"MARTIN, Louis",Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,"MERCHEZ, Désiré",Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,"PESLIER, Henri",Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,PESLOY,Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,"TREFFEL, Charles",Men,Water Polo
1900,France,Bronze,Paris,Aquatics,Water polo,"VASSEUR, Paul",Men,Water Polo
1900,United Kingdom,Gold,Paris,Aquatics,Water polo,"COE, Thomas",Men,Water Polo
1900,United Kingdom,Gold,Paris,Aquatics,Water polo,"DERBYSHIRE, John Henry",Men,Water Polo
1900,United Kingdom,Gold,Paris,Aquatics,Water polo,"KEMP, Peter",Men,Water Polo
1900,United Kingdom,Gold,Paris,Aquatics,Water polo,"LISTER, William",Men,Water Polo
1900,United Kingdom,Gold,Paris,Aquatics,Water polo,"ROBERTSON, Arthur",Men,Water Polo
1900,United Kingdom,Gold,Paris,Aquatics,Water polo,"ROBINSON, Eric",Men,Water Polo
1900,United Kingdom,Gold,Paris,Aquatics,Water polo,"WILKINSON, George",Men,Water Polo
1900,Belgium,Silver,Paris,Aquatics,Water polo,"COHEN, Henri",Men,Water Polo
1900,Belgium,Silver,Paris,Aquatics,Water polo,"DE BACKER, Jean",Men,Water Polo
1900,Belgium,Silver,Paris,Aquatics,Water polo,"DE BEHR, Victor",Men,Water Polo
1900,Belgium,Silver,Paris,Aquatics,Water polo,"FEYAERTS, Fernand",Men,Water Polo
1900,Belgium,Silver,Paris,Aquatics,Water polo,"GREGOIRE, Oscar",Men,Water Polo
1900,Belgium,Silver,Paris,Aquatics,Water polo,"MICHANT, Albert",Men,Water Polo
1900,Belgium,Silver,Paris,Aquatics,Water polo,"SONNEMANS, Victor",Men,Water Polo
1900,France,Bronze,Paris,Archery,Archery,"PETIT, Charles Frédéric",Men,"Au Chapelet, 33M"
1900,Belgium,Gold,Paris,Archery,Archery,"VAN INNIS, Hubert",Men,"Au Chapelet, 33M"
1900,France,Silver,Paris,Archery,Archery,"THIBAUD, Victor",Men,"Au Chapelet, 33M"
1900,France,Bronze,Paris,Archery,Archery,"MERCIER, Emile",Men,"Au Chapelet, 50M"
1900,France,Gold,Paris,Archery,Archery,"MOUGIN, Eugène",Men,"Au Chapelet, 50M"
1900,France,Silver,Paris,Archery,Archery,"HELLE, Henri",Men,"Au Chapelet, 50M"
1900,France,Bronze,Paris,Archery,Archery,"PETIT, Charles Frédéric",Men,"Au Cordon Doré, 33M"
1900,Belgium,Gold,Paris,Archery,Archery,"VAN INNIS, Hubert",Men,"Au Cordon Doré, 33M"
1900,France,Silver,Paris,Archery,Archery,"THIBAUD, Victor",Men,"Au Cordon Doré, 33M"
1900,France,Bronze,Paris,Archery,Archery,"FISSEUX, Emile",Men,"Au Cordon Doré, 50M"
1900,France,Gold,Paris,Archery,Archery,"HEROUIN, Henri",Men,"Au Cordon Doré, 50M"
1900,Belgium,Silver,Paris,Archery,Archery,"VAN INNIS, Hubert",Men,"Au Cordon Doré, 50M"
1900,Belgium,Gold,Paris,Archery,Archery,"FOULON, Emmanuel",Men,Sur La Perche À La Herse
1900,Belgium,Silver,Paris,Archery,Archery,"DRUART, Jr.",Men,Sur La Perche À La Herse
1900,France,Silver,Paris,Archery,Archery,"SERRURIER, Auguste",Men,Sur La Perche À La Herse
1900,Belgium,Bronze,Paris,Archery,Archery,"GLINEUX, Louis",Men,Sur La Perche À La Pyramide
1900,France,Gold,Paris,Archery,Archery,"GRUMIAUX, Emile",Men,Sur La Perche À La Pyramide
1900,France,Silver,Paris,Archery,Archery,"SERRURIER, Auguste",Men,Sur La Perche À La Pyramide
1900,Australia,Bronze,Paris,Athletics,Athletics,"ROWLEY, Stanley",Men,100M
1900,United States,Gold,Paris,Athletics,Athletics,"JARVIS, Francis",Men,100M
1900,United States,Silver,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",Men,100M
1900,United States,Bronze,Paris,Athletics,Athletics,"MOLONEY, Frederick",Men,110M Hurdles
1900,United States,Gold,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",Men,110M Hurdles
1900,United States,Silver,Paris,Athletics,Athletics,"MCLEAN, John",Men,110M Hurdles
1900,United States,Bronze,Paris,Athletics,Athletics,"BRAY, John",Men,1500M
1900,United Kingdom,Gold,Paris,Athletics,Athletics,"BENNETT, Charles",Men,1500M
1900,France,Silver,Paris,Athletics,Athletics,"DELOGE, Henri",Men,1500M
1900,Australia,Bronze,Paris,Athletics,Athletics,"ROWLEY, Stanley",Men,200M
1900,United States,Gold,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",Men,200M
1900,India,Silver,Paris,Athletics,Athletics,"PRITCHARD, Norman",Men,200M
1900,United States,Bronze,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",Men,200M Hurdles
1900,United States,Gold,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",Men,200M Hurdles
1900,India,Silver,Paris,Athletics,Athletics,"PRITCHARD, Norman",Men,200M Hurdles
1900,France,Bronze,Paris,Athletics,Athletics,"CHASTANIE, Jacques",Men,3000M Steeplechase
1900,Canada,Gold,Paris,Athletics,Athletics,"ORTON, George",Men,3000M Steeplechase
1900,United Kingdom,Silver,Paris,Athletics,Athletics,"ROBINSON, Sidney",Men,3000M Steeplechase
1900,United Kingdom,Bronze,Paris,Athletics,Athletics,"ROBINSON, Sidney",Men,4000M Steeplechase
1900,United Kingdom,Gold,Paris,Athletics,Athletics,"RIMMER, John",Men,4000M Steeplechase
1900,United Kingdom,Silver,Paris,Athletics,Athletics,"BENNETT, Charles",Men,4000M Steeplechase
1900,Denmark,Bronze,Paris,Athletics,Athletics,"SCHULTZ, Ernst",Men,400M
1900,United States,Gold,Paris,Athletics,Athletics,"LONG, Maxwell W.Maxey",Men,400M
1900,United States,Silver,Paris,Athletics,Athletics,"HOLLAND, William",Men,400M
1900,Canada,Bronze,Paris,Athletics,Athletics,"ORTON, George",Men,400M Hurdles
1900,United States,Gold,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",Men,400M Hurdles
1900,France,Silver,Paris,Athletics,Athletics,"TAUZIN, Henri",Men,400M Hurdles
1900,,Gold,Paris,Athletics,Athletics,"BENNETT, Charles",Men,5000M Team
1900,,Gold,Paris,Athletics,Athletics,"RIMMER, John",Men,5000M Team
1900,,Gold,Paris,Athletics,Athletics,"ROBINSON, Sidney",Men,5000M Team
1900,,Gold,Paris,Athletics,Athletics,"ROWLEY, Stanley",Men,5000M Team
1900,,Gold,Paris,Athletics,Athletics,"TYSOE, Alfred",Men,5000M Team
1900,France,Silver,Paris,Athletics,Athletics,"CASTANET, André",Men,5000M Team
1900,France,Silver,Paris,Athletics,Athletics,"CHAMPOUDRY, Michel",Men,5000M Team
1900,France,Silver,Paris,Athletics,Athletics,"CHASTANIE, Jacques",Men,5000M Team
1900,France,Silver,Paris,Athletics,Athletics,"DELOGE, Henri",Men,5000M Team
1900,France,Silver,Paris,Athletics,Athletics,"RAGUENEAU, Gaston",Men,5000M Team
1900,Australia,Bronze,Paris,Athletics,Athletics,"ROWLEY, Stanley",Men,60M
1900,United States,Gold,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",Men,60M
1900,United States,Silver,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",Men,60M
1900,United States,Bronze,Paris,Athletics,Athletics,"HALL, David",Men,800M
1900,United Kingdom,Gold,Paris,Athletics,Athletics,"TYSOE, Alfred",Men,800M
1900,United States,Silver,Paris,Athletics,Athletics,"CREGAN, John",Men,800M
1900,United States,Bronze,Paris,Athletics,Athletics,"SHELDON, Richard",Men,Discus Throw
1900,Hungary,Gold,Paris,Athletics,Athletics,"BAUER, Rudolf",Men,Discus Throw
1900,,Silver,Paris,Athletics,Athletics,"JANDA, Frantisek",Men,Discus Throw
